exercise,sets,reps,rir,rest,category,workout,weeks
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1. Seated hamstring curl,4,8 to 12,1 to 2,2 min,Hamstring (Curl),Lower A,1
2. Barbell Back Squat,3,6 to 8,2 to 3,3 min,Quads / Glutes (Squat Movements),Lower A,1
3. Leg Press,3,6 to 8,2 to 3,3 min,Quads / Glutes (Leg Press),Lower A,1
4. Heel Elevated Dumbbell Split Squat,4,8 to 12,1 to 2,2 min,Legs (Lunge variation),Lower A,1
5. Seated Calf Raise,4,8 to 12,1 to 2,90 sec,Calves,Lower A,1
6. Weighted Crunch,4,8 to 12,1 to 2,90 sec,Core (Upper Abs),Lower A,1
,,,,,,,
,,,,,,,
1. Flat DB Press,3,6 to 8,2 to 3,3 min,Chest (flat press),Push,1
2. Incline Chest Press Machine,3,8 to 12,2 to 3,3 min,Chest (Incline Press),Push,1
3. Chest Fly Machine,4,8 to 12,2 to 3,3 min,Chest (Fly),Push,1
4. Single Arm Cable Lateral,4,6 to 8,1 to 2,3 min,Shoulder (Medial Delt),Push,1
5. Cross Cable Tricep Pushdown,4,10 to 15,1 to 2,2 min,Tricep,Push,1
,,,,,,,
,,,,,,,
,,,,,,,
1. Underhand High Row Machine,3,8 to 12,2 to 3,3 min,Back (High Row),Pull,1
2. Chest Supported Upper Back Row,3,8 to 12,2 to 3,3 min,Back (Upper Back Row),Pull,1
3. Single Arm DB Row,3,6 to 8,2 to 3,3 min,Back (Lats Row),Pull,1
4. Cable Rear Delt,4,8 to 12,1 to 2,2 min,Shoulder (Rear Delt),Pull,1
5. Incline DB Curls,4,8 to 12,1 to 2,2 min,Biceps,Pull,1
,,,,,,,
1. Lying hamstring curl,4,8 to 12,1 to 2,2 min,Hamstring (Curl),Lower B,1
2. Barbell RDL,3,6 to 8,2 to 3,3 min,Hamstrings / Glutes (Hamstrings legnthened),Lower B,1
3. Feet Wide and High Leg Press,3,6 to 8,2 to 3,3 min,Quads / Glutes (Leg Press),Lower B,1
,,,,,,,
,,,,,,,
4. Walking lunges,4,8 to 12,1 to 2,2 min,Legs (Lunge variation),Lower B,1
5. Calf Raise Toe Press,4,8 to 12,1 to 2,90 sec,Calves,Lower B,1
6. Weighted Crunch,4,8 to 12,1 to 2,90 sec,Core (Upper Abs),Lower B,1
,,,,,,,
1. Wide grip lat pulldown,4,8 to 12,1 to 2,2 min,Back (Lat Pulldown),Upper,1
2. Incline DB Bench,3,6 to 8,2 to 3,3 min,Back (Back Row),Upper,1
3. Seated Cable Row,3,6 to 8,2 to 3,3 min,Chest (Incline Press),Upper,1
4.Dips,3,8 to 12,1 to 2,2 min,Chest / Shoulder / Tricep (Lower Chest) (Front Delt) (Tricep Press),Upper,1
5. Lateral Raises Facing Bench,4,10 to 15,1 to 2,2 min,Shoulder (Medial Delt),Upper,1
6. Single Arm DB Preacher Curl,4,10 to 15,1 to 2,2 min,Biceps,Upper,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1. Seated hamstring curl,3,8 to 12,0 to 1,3 min,Hamstring (Curl),Lower A,2-3
